variant,score_thr,frame_subset,n_frames,n_base_dets,n_warm_dets,n_matched,recall,precision,iou_mean,iou_min,score_diff_mean,score_diff_max,center_dist_mean_m,center_dist_max_m,base_inference_s_mean,warm_inference_s_mean,speedup_pct
warm_compensated,0.35,cold,4,13,13,13,1.0,1.0,1.0000000183398907,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.25501716136932373,-174.0367352664066
warm_compensated,0.35,warm,785,2349,2301,2110,0.898254576415496,0.9169926119078662,0.8384205786537785,0.5065463185310364,0.044066206595344,0.4164387285709381,0.11937457009823331,1.0859941244125366,0.0897449690824861,2.287640080482337,-2449.0454828501065
warm_compensated,0.4,all,789,2254,2230,2056,0.9121561668145519,0.9219730941704036,0.8426985461192372,0.5089759230613708,0.040507168215536425,0.4164387285709381,0.11496060106002795,0.7521286606788635,0.0897617726875953,2.2773352748087605,-2437.088124066737
warm_compensated,0.4,cold,4,12,12,12,1.0,1.0,1.0000000198682149,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.25501716136932373,-174.0367352664066
warm_compensated,0.4,warm,785,2242,2218,2044,0.911685994647636,0.9215509467989179,0.8417750541011415,0.5089759230613708,0.04074497937922841,0.4164387285709381,0.11563551652613378,0.7521286606788635,0.0897449690824861,2.287640080482337,-2449.0454828501065
warm_range_adaptive,0.25,all,789,2556,2587,2313,0.9049295774647887,0.8940858136838037,0.8354226084843993,0.5097507238388062,0.05181502638778489,0.6092022657394409,0.123079877225356,0.7793159484863281,0.0897617726875953,2.530706602961996,-2719.358984553264
warm_range_adaptive,0.25,cold,4,15,15,15,1.0,1.0,1.00000003973643,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.25550442934036255,-174.56034443555572
warm_range_adaptive,0.25,warm,785,2541,2572,2298,0.9043683589138135,0.8934681181959565,0.8343483432673495,0.5097507238388062,0.05215324457569471,0.6092022657394409,0.1238832706798296,0.7793159484863281,0.0897449690824861,2.5422999898339533,-2732.8050205212985
warm_range_adaptive,0.3,all,789,2453,2480,2227,0.9078679168365267,0.8979838709677419,0.8383196100933861,0.5176575779914856,0.04798148581143393,0.5370399355888367,0.12113109148798747,0.7793159484863281,0.0897617726875953,2.530706602961996,-2719.358984553264
warm_range_adaptive,0.3,cold,4,13,13,13,1.0,1.0,1.0000000183398907,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.25550442934036255,-174.56034443555572
warm_range_adaptive,0.3,warm,785,2440,2467,2214,0.9073770491803279,0.8974462910417511,0.8373702671362024,0.5176575779914856,0.04826321991963115,0.5370399355888367,0.12184233999265949,0.7793159484863281,0.0897449690824861,2.5422999898339533,-2732.8050205212985
warm_range_adaptive,0.35,all,789,2362,2363,2159,0.9140558848433531,0.9136690647482014,0.840935433750188,0.5176575779914856,0.04492350839917005,0.42831146717071533,0.11847880852463491,0.7781022787094116,0.0897617726875953,2.530706602961996,-2719.358984553264
warm_range_adaptive,0.35,cold,4,13,13,13,1.0,1.0,1.0000000183398907,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.25550442934036255,-174.56034443555572
warm_range_adaptive,0.35,warm,785,2349,2350,2146,0.9135802469135802,0.9131914893617021,0.8399718551855718,0.5176575779914856,0.04519564521612681,0.42831146717071533,0.11919652730880091,0.7781022787094116,0.0897449690824861,2.5422999898339533,-2732.8050205212985
warm_range_adaptive,0.4,all,789,2254,2247,2074,0.9201419698314108,0.9230084557187361,0.8446152765760081,0.5176575779914856,0.0409953358117042,0.3464205861091614,0.11461912728545212,0.7781022787094116,0.0897617726875953,2.530706602961996,-2719.358984553264
warm_range_adaptive,0.4,cold,4,12,12,12,1.0,1.0,1.0000000198682149,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.25550442934036255,-174.56034443555572
warm_range_adaptive,0.4,warm,785,2242,2235,2062,0.91971454058876,0.9225950782997763,0.843711000669361,0.5176575779914856,0.04123391196579753,0.3464205861091614,0.11528616391368947,0.7781022787094116,0.0897449690824861,2.5422999898339533,-2732.8050205212985
